title,glass,garnish,recipe,ingredients
THE PLAYBOY,Flute glass,horse tail lemon twist,"shake all but champagne with ice, strain into Flute glass top with the champagne, garnish and serve.

(ideally this would be a cocktail made for 4 people because the price of ingredients would sale this in the region of £500-£600 hence the name Playboy","[['1.5 cl', ""Château d'Yquem Sauternes""], ['2 cl', 'Grand Marnier Cuvée du Cent Cinquantenaire Liqueur'], ['3.5 cl', 'Piper-Heidsieck Cuvee Brut N.V. Champagne'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
Passionfruit Pizazz,Coupe glass,Slide of lemon,"Combine all ingredients and dry shake. Add ice, shake until cold, then double strain into glass.","[['4.5 cl', 'Vodka'], ['2.25 cl', 'Passion fruit syrup'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1 fresh', 'Egg white']]"
Rocky and Stormy,Old-fashioned glass,Wedge of lime.,Simply pour over ice and enjoy.,"[['5 cl', 'Island single malt Scotch whisky'], ['13 cl', 'Fever-Tree Premium Ginger Beer'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
Mojito Through The Straw,Collins glass,Mint sprigs bouquet,"Add first 2 ingredients to shaker and MUDDLE.
Add rum and lime juice, SHAKE with ice and strain into ice-filled glass.
TOP with soda.","[['14 fresh', 'Mint leaves'], ['2.25 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""], ['6 cl', 'White (charcoal-filtered) 1-3 year old light rum'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Soda (club soda) water']]"
From Paris With Love,Collins glass,"Whatever you like - anise foam, a star anise pod, tarragon leaves, a pineapple wedge, a lemon slice... be creative.","Add all ingredients to a cocktail shaker with ice. Shake well, then strain into ice-filled glasses.

To make star anise syrup, combine 1 cup sugar, 1 cup water, 6 star anise pods, 2 cinnamon sticks, and an orange peel in a small sauce pan. Heat on stove until sugar is fully dissolved and it is just beginning to boil. Cool slightly, strain out spices, and cool completely.","[['9 cl', 'Grey Goose Cherry Noir Vodka'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['3.75 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Star anise syrup']]"
Skåne martini,Martini glass,Lemon peel,Add 3 dashes of orange bitters to glas. Add vermouth & aquavit. STIR.,"[['5 cl', 'Akvavit / Aquavit'], ['2 cl', 'Noilly Prat dry vermouth'], ['3 dash', 'Orange Bitters by Angostura']]"
John's Honeysuckle,Coupe glass,Lemon twist,"SHAKE all ingredients with ice and fine strain into chilled glass.

Ginger honey water works well with the dark rum. Regular honey water is better for lighter rum","[['5 cl', 'Dark/black/blackstrap rum'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['2 cl', 'Honey water (1:1)']]"
Nepal Basque,Copa glass,Zest of blood orange,SHAKE all ingredients except the ginger beer with ice and fine strain into a chilled glass. Top with the ginger beer.,"[['4.5 cl', 'Gin'], ['2.25 cl', 'Giffard Pamplemousse Rose (pink grapefruit) liqueur'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['3⁄4 spoon', 'Timut pepper'], ['2 pinch', 'Espelette chili powder'], ['9 cl', 'Ginger beer']]"
Doug's Negroni Tredici,Old-fashioned glass,Lemon zest twist (discarded),STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Rosso/rouge (sweet) vermouth'], ['3 cl', 'Gin'], ['1.5 cl', 'Cynar Ricetta Originale Artichoke Amaro Liqueur'], ['1.5 cl', 'Campari Bitter liqueur']]"
Terry's Old Friend,Coupe glass,Grapefruit zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1 cl', 'Elderflower liqueur'], ['3 cl', 'Luxardo Aperitivo'], ['2 cl', 'Lime juice (freshly squeezed)'], ['3 cl', 'Vodka']]"
Glowing Ember,Martini glass,Orange twist,"Combine ingredients and a dash of Earl Grey Bitters over ice and stir.

Serve Up","[['3 cl', 'High West Campfire Whiskey'], ['3 cl', 'Campari Bitter liqueur'], ['3 cl', ""Amaro dell'Etna""]]"
Drunk Uncle,Coupe glass,Grapefruit zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['1.5 cl', 'Islay single malt (peated) Scotch whisky'], ['2.5 cl', 'Martini Bianco vermouth'], ['1 cl', 'Cynar or other carciofo amaro']]"
Winter,Coupe glass,Skewered crystallised ginger,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Jamaican aged blended rum'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.5 cl', 'Ginger liqueur'], ['0.5 cl', 'Pimento dram liqueur'], ['2 dash', 'Angostura Aromatic Bitters']]"
The Fitzroy,Nick & Nora glass,Orange zest twist (discarded) & Luxardo Maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Speyside single malt Scotch whisky'], ['0.5 cl', 'Islay single malt (peated) Scotch whisky'], ['2.5 cl', 'Martini Rosso sweet vermouth'], ['2 dash', 'Angostura Aromatic Bitters']]"
The Prospector,Coupe glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Speyside single malt Scotch whisky'], ['2 cl', 'Lime juice (freshly squeezed)'], ['2 cl', 'Honey syrup (3 honey to 1 water)']]"
High King,Collins glass,Lemon wheel & raspberry sail,"MUDDLE raspberries in base of shaker. Add next 6 ingredients (all but soda), SHAKE with ice and fine strain into ice-filled glass. TOP with soda.","[['2 fresh', 'Raspberries (fresh)'], ['4 cl', 'Irish whiskey'], ['1 cl', 'Bittersweet orange-red aperitivo'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Grapefruit juice (pink)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', ""Peychaud's or other Creole-style bitters""], ['1.5 cl', 'Thomas Henry Soda Water']]"
Emerald Rain,Martini glass,"At Christmas, my wife adds a Maraschino cherry. The rest of the year, a wedge of lime works well.","In a Shaker, combine:
2 OZ Hpnotiq
1 OZ Vodka
1 OZ Orange Juice
1/2 OZ Fresh Lime juice
Swirl to mix, add Ice to shaker, shake heartily and strain into Martini Glass","[['6 cl', 'Hpnotiq Tropical liqueur'], ['3 cl', 'Vodka'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
Passoa Margarita,Margarita glass,Lime slice,Add ingredients to a shaker with ice and shake well. Strain into margarita glass.,"[['1.5 cl', 'Passoã liqueur'], ['4.5 cl', 'Patrón Silver blanco tequila'], ['1.5 cl', 'Triple sec liqueur (40%)'], ['2.25 cl', 'Lime juice (freshly squeezed)']]"
Flor de Jerez,Absinthe glass or old-fashioned glass,None,"SHAKE all ingredients in an ice-filled Shaker and double-strain into chilled glass.
For an extra gimmick, put the dash bitters into the glass after you strained it.","[['3 cl', 'Amontillado sherry'], ['1 cl', 'Navy rum (54.5% alc./vol.)'], ['0.5 cl', 'Apricot (brandy) liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Angostura Aromatic Bitters']]"
Sparkling Shamrock,Highball (max 10oz/300ml),"Mint, cucumber slices, or lemon zest - or all 3!","In a cocktail shaker, muddle the cucumber slices with the lemon juice and simple syrup. Add ice, vodka and elderflower liqueur. Shake vigorously and double-strain into a highball glass over ice. Top with lemonade (or club soda).","[['4.5 cl', 'Grey Goose La Poire Vodka'], ['1.5 cl', 'Elderflower liqueur'], ['9 cl', 'Lemonade'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""], ['2 slice', 'Cucumber (fresh)']]"
Kumquari,Coupe glass,1 halved kumquat,"Cut kumquats in half and muddle with vodka
Add Campari and lemon juice
Shake with ice
Double strain into a coupe","[['4.5 cl', 'Vodka'], ['4.5 cl', 'Campari Bitter liqueur'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['5 unit', 'Kumquats (chopped)']]"
The Leicester Lovely,Large wine glass,"Orange and lemon slices, umbrella and any sparkly spangle or sparkler!","Mix all ingredients together over ice and top up with sprite, serve in any fancy glass!","[['1.5 cl', 'Vodka'], ['1.5 cl', 'Limoncello liqueur'], ['6 cl', 'Sauvignon blanc wine'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Lemon-lime soda (Sprite/7-Up)']]"
The Cross-Well Tart,Coupe glass,Half a Maraschino cherry floated on top of the foam and a drizzle of the cherry juice to form a swirl.,Dry shake all ingredients to create a foam. Add ice and shake hard again before straining into a chilled coupe.,"[['5 cl', 'Bourbon whiskey'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2 cl', 'Orgeat (almond) sugar syrup'], ['1.5 cl', 'Chambord liqueur'], ['0.75 cl', 'Egg white']]"
Vieux Coüw-Coüw,Highball (max 10oz/300ml),Golden swizzle stick and a lemon slice or a lemon twist.,"Pour all the ingredients in the shaker, shake very well, strain the content in a highball or a big old fashioned glass over some ice cubes. twist a lemon zest over the glass.","[['3 cl', 'Buffalo Trace Bourbon (45% alc./vol.)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['3 cl', 'Suze gentian liqueur'], ['0.75 cl', 'Luxardo Bitter Bianco liqueur'], ['1.5 cl', 'Montenegro amaro'], ['2 dash', 'Bittermens Winter Melon Bitters']]"
Blushing Bronx,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Martini Bianco vermouth'], ['4.5 cl', 'Gin'], ['1 ring', 'Orange peel'], ['4.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Cranberry juice (sweetened)']]"
Avenyn,Coupe glass,Orange zest twist,"SHAKE all ingredients with ice, and strain into a chilled glass.","[['6 cl', 'Pierre Ferrand Orange Curaçao'], ['2 cl', 'Chartreuse Liqueur du 9 Centenaire'], ['1 cl', 'Lemon juice (freshly squeezed)'], ['4 dash', 'Orange Bitters by Angostura']]"
Nolkan Üñüm (paper bird),Old-fashioned glass,"lemon twist and/or, if you want, with a little paper bird in a stick",SHAKE all ingredients with ice and fine strain into chilled glass with one big ice cube,"[['3 cl', 'Träkál'], ['3 cl', 'Campari Bitter liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Bitter Araucano / Bitter Brusco']]"
Patrick's Harvest Moon (1930s recipe),Coupe glass,Orange zest twist,SHAKE all ingredients and fine strain into chilled glass.,"[['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Orgeat (almond) sugar syrup'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4.5 cl', ""Calvados Boulard VSOP Pays d'Auge""]]"
Green Isaac's Special,Collins glass,Garnish with a lime wedge or peel.,"Shake all ingredients well with ice, then transfer contents of shaker into a Collins glass, adding more ice as needed.","[['6 cl', 'Gin'], ['12 cl', 'Coconut water'], ['1 fresh', 'Lime shell (squeezed/spent lime husk)'], ['3 dash', 'Angostura Aromatic Bitters']]"
The Cheeky Merchant of Venice,Martini (large 10oz) glass,Lemon zest twist,"STIR honey with vodka in base of shaker to dissolve. Add other ingredients and DRY SHAKE (without ice). SHAKE again with ice and fine strain into chilled glass. Top with Aquafaba.

For the Aquafaba, take half the juice from a can of chickpeas and blend using a Nutribullet or similar to create the foam and then spoon on top of the cocktail","[['6 cl', 'Vodka'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Aquafaba (chickpea water)'], ['6 cl', 'Aperol Aperitivo'], ['1 cl', 'Eucalyptus honey']]"
"Blood, Smoke & Tears",Coupe glass,Rosemary sprig,Smoke chilled glass with a rosemary sprig and leave upturned while making the cocktail to retain smoke. SHAKE all ingredients with ice and fine strain into smoked glass.,"[['5 cl', 'Black Tears cacao & coffee spiced rum'], ['2.5 cl', 'Tawny port'], ['1.25 cl', 'Cinnamon sugar syrup'], ['1.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white']]"
Ab-Fab,Flute glass,Orange Twist,"Add all ingredients into shaker and shake with ice for 12 seconds, double strain into Champagne flute and top with Brut Champagne","[['2 cl', 'Belvedere Rye Vodka'], ['0.5 cl', 'Monin Grenadine syrup'], ['0.5 cl', 'Monin Strawberry syrup'], ['2.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Triple sec liqueur (40%)'], ['Top up with', 'Moët & Chandon Brut Impérial']]"
new cosmopolitan,Martini glass,Orange zest twist (flamed),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Vodka'], ['3 cl', 'Triple sec liqueur (40%)'], ['1 dash', 'Orange bitters'], ['1 spoon', 'Raspberry jam'], ['3 cl', 'Lime juice (freshly squeezed)']]"
boozy lillet,Coupe glass,Pink grapefruit zest twist (discarded) & 3 spots of Peychaud's bitters drawn through foamy head,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Vodka'], ['1.5 cl', 'Bianco vermouth'], ['0.75 cl', 'Pasteurised egg white'], ['3 cl', 'Lillet Blanc'], ['1⁄2 spoon', 'Raspberry jam'], ['1 dash', 'Angostura Aromatic Bitters'], ['1 dash', 'Orange Bitters by Angostura']]"
Jade Orange,Coupe glass,Garnish with a lime wheel on the rim.,Shake all ingredients in a shaker and double strain into a coupe.,"[['9 cl', 'Orange juice (freshly squeezed)'], ['3 cl', 'Bols Blue Curaçao'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4.5 cl', 'Blanco tequila (100% agave)']]"
Nueva York,Old-fashioned glass,Dried lime wheel.,Add all ingredients and shake vigorously without ice (dry shake). Add ice and then shake some more. Pour through a strainer to an old-fashioned glass filled with ice (cubes). Slowly add a float of sloe gin (recommended: pour it over a bar spoon). Squeeze orange zest over the glass. Enjoy. Repeat.,"[['4 cl', 'Reposado tequila (100% agave)'], ['1.5 cl', ""Hayman's Sloe Gin Liqueur""], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Patrick's Indian Rose,Martini glass,Rose petal,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['7.5 cl', 'Gin'], ['0.75 cl', 'Apricot (brandy) liqueur'], ['0.75 cl', 'Rose water'], ['0.75 cl', 'Rose sugar syrup'], ['1.5 cl', 'Chilled water']]"
Huismus,Collins glass,Lemon thyme.,Muddle root ginger with lemon juice in the glass. Add the sloe gin and limoncello. Fill glass with ice cubes and top up with spiced ginger ale. Light stir the drink.,"[['4 cl', ""Hayman's Sloe Gin Liqueur""], ['2 cl', 'Luxardo Limoncello Liqueur'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['2 gram', 'Root ginger (thumbnail-sized slice)'], ['Top up with', 'Fever-Tree Spiced Orange Ginger Ale']]"
Patrick's Poet's Dream,Nick & Nora glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Gin'], ['1.5 cl', 'Bénédictine D.O.M. liqueur'], ['3 cl', 'Dry vermouth'], ['2 dash', 'Orange bitters'], ['1 cl', 'Chilled water']]"
Anne Bonny,Nick & Nora glass,Pink Grapefruit zest (coin form) on top of the drink,"Add all the ingredients in a chilled mixing glass, add ice and make a long stir.
Strain the drink in a chilled Nick and Nora glass and express the oils of a pink grapefruit zest on top.","[['2 cl', ""Plantation Stiggins' Fancy Pineapple Rum""], ['2 cl', 'Plantation Barbados Grande Reserve 5 Year Old Rum'], ['2 cl', 'Plantation XO 20th Anniversary rum'], ['1.5 cl', 'Giffard Caribbean Pineapple liqueur'], ['0.5 cl', 'Giffard Banane du Brésil liqueur'], ['2 cl', 'Verjuice']]"
Old Tom in The Ninth Ward,Coupe glass,Lime,SHAKE all ingredients with ice and fine strain into a chilled glass.,"[['0.75 cl', 'St-Germain elderflower liqueur'], ['3 cl', ""John D. Taylor's Velvet Falernum Liqueur""], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['3 dash', ""Peychaud's Aromatic Bitters""], ['4.5 cl', 'Barr Hill Reserve Tom Cat Gin']]"
Patrick's Sputnik #1,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Vodka'], ['3 cl', ""Peach 'schnapps' liqueur""], ['4.5 cl', 'Orange juice (freshly squeezed)'], ['3 cl', 'Single cream / half-and-half']]"
Nathan's Charente White Negroni,Martini glass,Pink grapefruit zest twist,POUR all ingredients into ice-filled glass and STIR.,"[['3 cl', 'Aviation American gin'], ['3 cl', 'Cognac'], ['3 cl', 'Suze gentian liqueur'], ['3 cl', 'Lillet Blanc (or other aromatized wine)']]"
Friday after five,Coupe glass,Extract a piece of bergamot peel over the drink and then garnish with the same peel.,SHAKE all ingredients with ice and fine strain into chilled coupe glass.,"[['3 cl', 'Gin'], ['1.5 cl', 'Green Chartreuse liqueur'], ['2.5 cl', 'Bergamot juice'], ['1 dash', 'Absinthe verte']]"
Whiskey Dry & Lime,Collins glass,Drop squeezed lime wedges into drink,POUR and squeeze ingredients into ice-filled glass.,"[['5 cl', 'Irish whiskey'], ['2 wedge', 'Lime (fresh)'], ['12 cl', 'Thomas Henry Ginger Ale']]"
Paddington,Coupe glass,Grapefruit zest twist,"RINSE chilled glass with absinthe and set to one side. STIR marmalade with rum in base of shaker until marmalade is dissolved. Add other ingredients, SHAKE with ice and fine strain into absinthe-rinsed glass.","[['0.25 cl', 'La Fée Parisienne absinthe'], ['4.5 cl', 'Havana Club 3 Year Old rum'], ['2 spoon', 'Orange marmalade'], ['1.5 cl', 'Lillet Blanc (or other aromatized wine)'], ['1.5 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
St. Stephen's Sour,Highball (max 10oz/300ml),Lemon zest twist,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Havana Club 7yo rum'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Giffard Orgeat Syrup']]"
Fruit Tingle,Poco grande,Pineapple wedge & Luxardo Maraschino cherry on rim,STIR first 3 ingredients with ice and strain into ice-filled glass whilst also pouring lemon-lime soda.,"[['4.5 cl', 'Ketel One Vodka'], ['3 cl', 'De Kuyper Blue Curaçao'], ['1.5 cl', 'Giffard Creme de Framboise'], ['9 cl', 'Lemon-lime soda (Sprite/7-Up)']]"
My Whiskey Daisy #1,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', ""'Simple' sugar syrup (1 sugar to 1 water)""], ['3 cl', 'Rittenhouse bottled-in-bond straight rye whiskey'], ['3 cl', 'Bourbon whiskey'], ['1.5 cl', 'Orgeat (almond) sugar syrup']]"
BBQ Canary,Copper mug or Collins glass,Lime wheel and red chili powder.,Shake first 5 ingredients with ice cubes. Fine strain into ice cubes filled glass. Top up with smoky ginger ale.,"[['4.5 cl', 'Mezcal'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Passion fruit puree'], ['1.5 cl', 'Agave syrup'], ['3 dash', 'Smoked chili bitters'], ['Top up with', 'Fever-Tree Premium Ginger Ale']]"
Crab Spider,Jam jar glass,Lemon zest twist,SHAKE (or stir) all ingredients with ice and fine strain into chilled glass.,"[['4 cl', 'Gin'], ['3 dash', 'Absinthe verte'], ['4 cl', 'Dolin Dry Vermouth de Chambery'], ['2 cl', 'Triple sec liqueur (40%)']]"
Patrick's Autumn Leaves,Old-fashioned glass,Orange zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['3 cl', 'Calvados & straight applejacks'], ['3 cl', 'Rosso/rouge (sweet) vermouth'], ['0.75 cl', 'Strega liqueur'], ['2 dash', 'Angostura or other aromatic bitters']]"
Improved Aviation,Coupe glass,Garnish with lemon peel and dried lavender or violet flowers.,Shake everything with ice cubes and double strain into a coupe glass.,"[['5 cl', 'Beefeater 24 London Dry Gin'], ['2 cl', 'Lavender sugar syrup'], ['0.5 cl', 'Crème de violette liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', ""Bob's Lavender Bitters""]]"
Cianan's Gimlet (Schumann's recipe),Coupe glass,Lime wheel,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Gin'], ['3 cl', 'Lime juice (freshly squeezed)'], ['2 cl', 'Giffard Sugar Cane Syrup (Sirop Sucre de Canne)']]"
Halloween Sour,Martini glass,Cinnamon stick or ground cinnamon + nutmeg,"Note: Should be 1 tbsp of pumpkin butter.

Add all ingredients to shaker and shake for 20 seconds to emulsify the egg. Add ice to shaker and shake again to cool. Double strain (if you're fancy) into a martini glass.","[['1 fresh', 'Egg white'], ['1 spoon', 'Pumpkin butter'], ['6 cl', 'Bombay Sapphire Gin'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
Kyle's White Lady Cocktail,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['6 cl', ""Hendrick's Gin""], ['1.5 cl', 'Cointreau triple sec liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)']]"
Samuel's Ward Eight,Coupe glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Evan Williams Extra Aged (Black Label) Kentucky Straight Bourbon Whiskey'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Grenadine/pomegranate syrup (2:1)']]"
Gary's Chocolate Negroni,Old-fashioned glass,Orange slice wheel Or Chocolate Shavings,STIR all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice).,"[['3 cl', 'Gin'], ['2.25 cl', 'Punt E Mes or other full-bodied vermouth'], ['2.25 cl', 'Italian red bitter liqueur'], ['0.75 cl', 'White crème de cacao liqueur']]"
Lone Bee,Old-fashioned glass,Dried dates,"STIR all ingredients in a glass. That's it. Never chill them. If you put ice in the glass, that is a variant Lone ""Ice"" Bee.","[['6 cl', 'Blended Scotch whisky'], ['1⁄2 spoon', 'Coffee liqueur'], ['1 spoon', 'Orange blossom honey']]"
Lone Ice Bee,Old-fashioned glass,Dried dates or Brandied cherry,STIR all ingredients in a mixing glass WITHOUT ice until the honey is dissolved. Put ice into the mixing glass and STIR again. Strain into a glass over ice.,"[['6 cl', 'Blended Scotch whisky'], ['1⁄2 spoon', 'Coffee liqueur'], ['1 spoon', 'Orange blossom honey']]"
Will's Bobby Burns,Nick & Nora glass,Lemon zest twist (discarded) & slice of shortbread,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Blended Scotch whisky'], ['3 cl', 'Rosso/rouge (sweet) vermouth'], ['2 dash', ""Peychaud's or other Creole-style bitters""], ['1 dash', 'Absinthe verte'], ['1 cl', 'Green (Verte) Chartreuse liqueur']]"
Devil's Soul,Nick & Nora glass,Orange zest twist,STIR all ingredients with ice and fine strain into a chilled glass.,"[['3 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['1 cl', 'Del Maguey VIDA mezcal'], ['1 cl', 'Averna Amaro'], ['0.5 cl', 'Bittersweet orange-red aperitivo'], ['0.5 cl', 'St-Germain elderflower liqueur']]"
Mollymock,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Dark/black/blackstrap rum'], ['1.5 cl', 'Bénédictine D.O.M.'], ['0.5 cl', 'Montenegro amaro'], ['2.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Sahara Cubano,Collins glass,Lime wedge,"STIR first 4 ingredients with ice and strain into ice-filled glass. TOP with tonic, FLOAT absinthe and dashes of bitters.","[['4 cl', 'Black Tears cacao & coffee spiced rum'], ['4.5 cl', 'Grapefruit juice (pink)'], ['0.5 cl', 'Agave syrup'], ['0.75 cl', 'Lime juice (freshly squeezed)'], ['4.5 cl', 'Thomas Henry Tonic Water'], ['0.5 cl', 'La Fée Parisienne absinthe'], ['2 dash', 'Angostura Aromatic Bitters']]"
Bonsoir,Coupe glass,Maraschino cherry,Combine all ingredients in a mixing glass except Absinthe and stir with ice. Pour into a chilled coupe washed with absinthe.,"[['6 cl', 'Hennessy Privilège VSOP Cognac'], ['3 cl', 'Green (Verte) Chartreuse liqueur'], ['4.5 cl', 'Cocchi Storico Vermouth di Torino'], ['3 dash', 'Angostura Aromatic Bitters'], ['3 dash', 'Orange Bitters by Angostura'], ['1 spoon', 'La Fée Parisienne absinthe']]"
Tara The Great,Martini glass,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Vodka'], ['1.5 cl', 'Coffee liqueur'], ['2.25 cl', 'Single cream / half-and-half'], ['0.75 cl', 'Pasteurised egg white'], ['1.5 cl', 'Salted caramel syrup']]"
Kevin's Oh Gosh!,Martini glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'White (charcoal-filtered) 1-3 year old light rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water'], ['3 cl', 'Grand Marnier liqueur']]"
Ombra Express,Martini glass,Garnish with 3 coffee beans,"Ice, Tia Maria, Amaro, White Chocolate all in a glass. Add coffee last. A good shake, strain into Martini Glass. Bob's yer uncle!","[['3 cl', 'Montenegro amaro'], ['3 cl', 'Tia Maria liqueur'], ['1.5 cl', 'Mozart White Chocolate Vanilla Cream liqueur'], ['3 cl', 'Espresso coffee (freshly made & hot)']]"
Mojito Milk Punch,Collins glass,"Not necessary, but if desired, you can use a sprig of mint",Pour all the ingredients into the shaker and shake with ice. Pour into a strictly transparent glass in order to benefit from the color. Add a straw.,"[['9 cl', 'Milk (semi-skimmed/2% fat)'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['2 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Green mint (menthe verte) syrup']]"
Autumn at the Abbey,Coupe glass,Cinnamon Stick or two pinches of Cinnamon,Shake all ingredients with ice and strain into a chilled glass.,"[['2.25 cl', 'Bénédictine D.O.M.'], ['0.75 cl', 'Green (Verte) Chartreuse liqueur'], ['4.5 cl', 'Apple juice'], ['4.5 cl', 'Cognac']]"
Adam's Singapore Sling (Variation on Dale DeGroff),Sling glass,Pineapple slice and Luxardo maraschino cherry,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Gin'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 dash', 'Angostura or other aromatic bitters'], ['0.75 cl', 'Cherry brandy liqueur'], ['2 dash', 'Grenadine/pomegranate syrup (2:1)'], ['1 cl', 'Bénédictine D.O.M.'], ['1 cl', 'Triple sec liqueur (40%)']]"
